question,answer,comment
"Content Security Policy (CSP) and X-XSS-Protection headers help to protect the application from common Cross-site scripting (XSS) attacks
*Content Security Policy (CSP) which is defined by W3C Specs as standard header refer to https://www.w3.org/TR/CSP1/ for more information.",yes,yes
Access logs should be checked on a regular basis and upon confirmation of suspicious activities.,yes,yes
Does the application supports integration to Enterprise Identity Management solution for user access management.,yes,yes
All access decisions must be based on the principle of least privilege. Also the rights for the user accounts must be defined based on their roles and responsibilities.,yes,yes
"Files or parameters must not have direct object reference access. This is to avoid manipulation to grant excessive access. The access control must be based on following criteria: 
• Authentication
• Identification
• Trusting Server-Side Information",yes,yes
Lack of validation of forward requests may lead to intruders obtaining access to sensitive content without authentication to the system. It can also lead to attackers luring users to malicious websites,yes,yes
Do you have any business requirement regarding Card Holder Data (CHD) or Cardholder Data Environment (CDE)?,no,no
If currently you are not having any business requirement regarding CHD or CDE is there any possibility in the future that you will access CHD or CDE either because of arising business requirement or because of incidental access?,no,no
Do you have any business requirement regarding Personally Identifiable Information (PII)? If you do please explain how it is necessary,yes,Halodoc collects and processes PII in light of our Privacy Policy (www.halodoc.com/kebijakan-privasi)
Do you establish and implement specific policies on the company's operational management?,yes,We have the Information Security Policy and Procedure 
Is there’s any of our data being used and sold by partner to other party?,no,Halodoc is not allow any kind of personal information data transaction. All kind of personal information usage will be under Halodoc agreement and policy
Do you have any procedure to ensure the other parties has complied to data sharing and disclosure regulation?,yes,"We have the ""Privacy and Data Protection Policy"" which have been implemented."
What’s the retention policy?,yes,"Retention Policy included in the ""Privacy and Data Protection Policy"" where we implement several controls such as:
- Personal Data stored by the Company must be in the form of encrypted data.
- In accordance with the provisions of the laws and regulations governing the mandatory period of storage of Personal Data in each industry;
- etc."
How can we (or our customer) order the deletion of data (exercise the right to be forgotten)?,yes,yes by a written request submitted by the Personal Data Owner.
Do you comply with applicable laws and regulations for cross-border data transfer?,yes,Permenkominfo no. 20 Tahun 2016 (Pasal 22)
Do you use the services of a third-party to manage following process: a. IS Development b. Data Processing c. Service Operation process of service development and/or a third-party to perform data processing(not limited to personal data customer data)?,no,no all points in this section will be managed by Halodoc
Do you have a process in place to ensure that your sub-processor is subject to a contract with privacy and security requirements not lower than those stipulated in the contract that you have signed with third-party?,yes,yes
Do you have your own Information Security Policy?,yes,We have the Information Security Policy and Procedure 
Do you review and update your Information Security Policy periodically? How long is the interval period between review?,yes,Once a year
Is your Information Security Policy easily accessible?,yes,It is available in the shared drive
Did you encounter any major cyber security or personal data breach incidents in the past five years?,no,no
If you've ever had a major security incident such as data leak how would you handle it?,no,no
If you have major security incident do you inform your customer and/or your third party who are directly affected?,yes,yes
Do you document any data breaches either general data or personal data including the impacts and remediations?,yes,yes
Apakah Anda menyimpan bukti digital untuk kebutuhan forensik? (Do you preserve digital evidence for forensic needs?,yes,yes
Have you had negative reviews from customers in the last 1 year ? If you have what are the negative reviews related to?What platform customer's used?such as IoS Android email social media etc,no,no
Do you have privacy or security certifications in related industries? For example PCI DSS certification is required if credit card payment is involved; ISO 27001 if fintech in Indonesia.,yes,We have ISO 27001 certification.
Do you have your own privacy policy?,yes,yes
Do you update your privacy policy periodically?,yes,yes
Is your Privacy Policy easily accessible?,yes,It is available in the shared drive
Are you able to ensure the data subject's rights including the rights to access rectification erasure restriction of processing?,yes,yes
Do you have awareness or a process in place to ensure that the data subject is not subject to automated decision-making including profiling?,yes,yes
Do you have awareness or methods in place to ensure that direct marketing and personalised recommendation are carried out only after obtaining the data subject's prior consent and the data subject can withdraw consent?,yes,yes
Do you have an assigned DPO or other similar privacy roles?,yes,we have 2 data privacy managers
Do you have an in-house security delivery team?,yes,yes
Does your security team have ever delivered a project in the whole security cycle (covering security requirements security design secure coding security testing and secure O&M)?,yes,yes
Does your security team have personnel with more than five years of experience in security?,yes,yes
Do you have a complete security process and security delivery management regulations and strictly comply with the requirements of each phase?,yes,yes
Do you implement any standard security qualification certifications such as CSA Star or BSIMM certification?,yes,We have and implemented ISO27001 certification standard.
Did you identify security needs and implement lifecycle management over the security needs?,yes,yes
Did you implement security design for security needs and output the security design specifications or report?,yes,yes
Are you protecting your system and your network from cyberattack by implementing perimeter security in your corporate environment? For example firewall antivirus IDS IPS etc.,yes,yes
Do you define and implement access control restrictions on system access and physical access over any services you provide?,yes,yes
Do you document your company's systems and network in the form of catalogs diagrams topologies or other form of documentation?,yes,Network topology and diagram are documented in a wiki page.
Did you use any standard secure code scanning tool in the industry for code scanning and release the version only after all identified issues are resolved?,yes,yes
Do you use any mainstream secure coding framework such as AngularJS against XSS attacks or OWASP Security Frameworks?,yes,We use Jenkins.
Do you use open-source software that does not have any security issues?,no,no
Do you have secure coding specifications and strictly comply with the specifications before version release?,yes,yes
How do you guarantee security of module/software/development being licensed to us?,yes,yes
What kind of data being stored in local storage (mobile phone) if any?,no,no
Do you have security test specifications and test cases and strictly implement them?,yes,yes
Do you have a commonly used commercial security test tool to scan the tested system?,yes,yes
Does your testing team have strict test pass criteria and strictly follow the criteria in such a manner that versions that do not meet security standards cannot be released?,yes,yes
Do you establish and implement monitoring of your company's access and network? Would you please state the monitoring tool your company uses?,yes,yes
For all organizational entities (e.g. vendor's vendors subcontractors fourth parties Nth parties) is there a contractual relationship that extends obligations to each entity?,yes,Our visibility is only up to vendors and partners who work directly with Halodoc.
Is there a set of information security policies that have been approved by management published and communicated to constituents?,yes,Evidence no. C.1 (SMKI Policy) and C.2 (SMKI Procedure).
Is there a management-approved process for handling deviations and exceptions?,yes,yes
Are information security personnel (internal or outsourced) responsible for information security processes?,yes,yes
Is there an asset management program approved by management communicated to constituents and an owner to maintain and review?,yes,yes
Is data classification documented for all assets?,yes,Included in the Evidence C.2 (SMKI Procedure)
Is Information classified according to legal or regulatory requirements business value and sensitivity to unauthorized disclosure or modification?,yes,yes
Is scoped data sent or received electronically encrypted in transit while outside the network?,yes,Evidence C.3 (Data Protection and Control Guideline)
Does the program include policies for data in use in motion and at rest?,yes,Data in use In motion and at rest have been covered on the data protection and control guideline. Evidence C.3 (Data Protection and Control Guideline)
Does regulated or confidential scoped data stored in a database include Database Encryption?,yes,Evidence C.11 (S3 Encryption)
Are encryption keys managed and maintained for scoped data?,yes,Evidence C.4 (AWS Key Management System Screenshot). We use Google Workspace Single Sign-On with MFA to login into AWS KMS. Evidence C.5 (Google Workspace MFA)
Is data segmentation and separation capability between clients provided?,yes,yes
Are constituents required to attend security awareness training?,yes,yes
Does the security awareness training program include techniques to recognize phishing attempts?,yes,yes
Is there a process to remove access to systems containing scoped data within 24 hours for terminated constituents?,yes,yes
Are Information Security requirements specified and implemented when new systems are introduced upgraded or enhanced?,yes,Evidence C.6 (Secure System Engineering Principle).
Do systems and network devices utilize a common time synchronization service?,yes,yes
Is there an access control program that has been approved by management communicated to constituents and an owner to maintain and review the program?,yes,Evidence no. C.1 (SMKI Policy) and C.2 (SMKI Procedure).
Are unique IDs required for authentication to applications operating systems databases and network devices?,yes,Evidence no. C.1 (SMKI Policy) and C.2 (SMKI Procedure).
Is there a password policy for systems that transmit process or store scoped systems and data that has been approved by management communicated to constituents and enforced on all platforms and network devices? ,yes,Evidence no. C.1 (SMKI Policy) and C.2 (SMKI Procedure).
Is Multi-factor Authentication deployed?,yes,Evidence no. C.1 (SMKI Policy) and C.2 (SMKI Procedure).
Is Multi-factor Authentication required for Privileged System Access?,yes,Evidence no. C.1 (SMKI Policy) and C.2 (SMKI Procedure).
Are privileged user access rights reviewed at least quarterly?,yes,Evidence C.7 (User Access Review Report)
Is a standards-based federated ID capability available to clients (e.g. SAML OpenID Single Sign On)?,yes,Single Sign On
Are applications evaluated from a security perspective prior to promotion to production?,yes,yes
Are identified security vulnerabilities remediated prior to promotion to production?,yes,Evidence C.8 (Halodoc Web & Mobile Application Security Assessment Report)
Are information security reviews conducted and approved for the use or installation of open source software (e.g. Linux Apache)?,yes,yes
Do application security reviews include a security review of API design?,yes,"We are using AWS API Gateway in addition to that we also performing automation API security testing in all our APIs by leveraging PYNT. 
Evidence no. 
E.1.3.1 PYNT API Testing
E.1.3.2 PYNT API Test Case "
Is a Web Application Firewall (WAF) enabled on web servers?,yes,AWS WAF enabled which will protect our web applications against various attack vectors.
Is there an automated system to review and correlate log and/or behavioral events (e.g. SIEM)?,yes,"SIEM solution have been implemented and monitored 24/7/365. The policy included in Evidence C.2 (SMKI Procedure Point 9.2).
SIEM Process and Monitoring Evidences no. J.3.2 Monitoring Process; J.3.2 Alerting; J.3.2 Remediation"
Does regular security monitoring include all changes to privileged user access rights on all scoped systems and systems with scoped data?,yes,yes
Is there a records retention policy and retention schedule covering paper and electronic records including email in support of applicable regulations standards and contractual requirements?,yes,yes
Are end user device operating system versions that no longer have patches released prohibited?,no,Controls are heightened in identifying obsolete OSes and putting strong security layers (EDR) to prevent cyber incidents
Is a virtual desktop infrastructure used for accessing transmitting or processing scoped data?,no,We are not using any VDI in our environment
Are third party alert services used to keep up to date with the latest vulnerabilities for all end user devices?,yes,We are leveraging Endpoint vulnerability management tool 
Are there technical controls to prevent unauthorized devices from physically connecting to the internal network or to detect and alert an administrator (e.g. NAC - Network Access Control)?,yes,yes
Are third party alert services used to keep up to date with the latest network device vulnerabilities?,yes,yes
Is every connection to an external network terminated at a firewall (e.g. the Internet Partner networks),yes,yes
Are network or security technologies used to establish and enforce security requirements and block unauthorized traffic between segregated systems and other networks and systems?,yes,Evidence no. C.1 (SMKI Policy) and C.2 (SMKI Procedure).
Are encrypted communications required for all remote network connections from external networks to networks containing scoped systems and data?,yes,We are using encrypted VPN. Evidence C. 9 (VPN Encryption).
Are Network Intrusion Detection capabilities employed e.g. appliance software etc.?,yes,Evidence C. 10 (IPS).
Is there a DMZ environment within the network that transmits processes or stores Scoped systems and data e.g. web servers DNS directory services remote access etc.?,no,no
Is there a Third Party Risk Management Program (including ongoing monitoring) in place to address data protection safeguards (administrative technical and physical safeguards for the security of the client scoped data?,yes,The policy included in Document C.2 (SMKI Procedure) point 11.4. Assessment using VISA form evidence C.11 (Sample of VISA form) and C.12 (Sample of summary of assessment).
Does the organization maintain policies standards and procedures for identifying and managing cyber supply chain risks (i.e. ensuring software and hardware components used as part of delivering a service or product do not present a risk)?,yes,Implemented Threat Intelligence to actively monitor supply chain attacks through alerting.
Are third party alert services used to keep up to date with the latest server vulnerabilities?,yes,Vulnerability Intelligence Threat Feeds
Does the data container security policy include security requirements implemented as part of the container build process?,yes,Image scanning have been implemented to discover vulnerability on the image level. 
Does the data container security policy ensure Containers are scanned for vulnerabilities and identified vulnerabilities are remediated?,yes,"Same with U.1.12.3
Evidence 
U.1.12.6-Trivy Scanner"
Does your organization have defined and published an information security policy that covers the to be provided service? If yes please provide a copy for review.,yes,yes
Has your organisation appointed and deployed a (senior) information security officer (ISO/CISO) who is responsible for security management that covers the to be provided service? If yes specify in the details who is he reporting to?,yes,yes
Does your organization has defined a responsible contact for information security related topics Including security incidents that covers the to be provided service? If implemented please specify Name Role Contact Details in the response details.,yes,yes
Does your organization has defined a responsible contact for Service Availability and Business Continuity related topics who covers the to be provided service? If implemented please specify Name Role Contact Details in the response details.,yes,yes
Has your organisation implemented an information security management system (ISMS) that is aligned with one or more industry standards or frameworks that covers the to be provided service? If yes please name the standards/frameworks in the response details field.,yes,yes
Does a set of topic-specific security-related policies exists (e.g. access control information classification and handling vulnerability management asset management).,yes,yes
Are all policies approved by management?,yes,yes
Are policies properly communicated to employees?,yes,yes
Are security policies subject to annual review?,yes,yes
Are the reviews conducted at regular intervals?,yes,yes
Are reviews conducted when circumstances change?,yes,yes
Are responsibilities for the protection of individual assets and for carrying out specific security processes clearly identified and defined and communicated to the relevant parties?,yes,yes
Are duties and areas of responsibility separated in order to reduce opportunities for unauthorized modification or misuse of information or services?,yes,yes
Is there a procedure documenting when and by whom contact with relevant authorities (law enforcement etc.) will be made?,yes,yes
Is there a process which details how and when contact is required?,yes,yes
Is there a process for routine contact and intelligence sharing?,yes,yes
Do relevant individuals within the organization maintain active membership in relevant special interest groups?,yes,yes
Do all projects go through some form of information security assessment?,yes,yes
Are operating procedures well documented?,yes,yes
Are the procedures made available to all users who need them?,yes,yes
Are information security requirements specified when new systems are introduced?,yes,yes
When systems are being enhanced or upgraded are security requirements specified and addressed?,yes,yes
Does a mobile device policy exist?,yes,yes
Does the policy have management approval?,yes,yes
Does the policy document and address additional risks from using mobile devices (e.g. theft of asset use of open wireless hotspots etc.),yes,yes
Is there an inventory of all assets associated with information and information processing facilities?,yes,yes
Is the inventory accurate and kept up to date?,yes,yes
Is there a clearly defined owner for each information asset who is aware of his responsibilities?,yes,yes
Is there an acceptable use policy for each class / type of information asset?,yes,yes
Are users made aware of this policy prior to use?,yes,yes
Is there a process in place to ensure all employees and external users return the organization's assets on termination of their employment contract or agreement?,yes,yes
Is there a policy governing information classification?,yes,yes
Is there a process by which all information can be appropriately classified?,yes,yes
Is there a process or procedure for ensuring information classification is appropriately marked on each asset?,yes,yes
Is there a procedure for handling each information classification?,yes,yes
Are users of information assets made aware of this procedure?,yes,yes
Is there a policy governing removable media?,yes,yes
Is there a process covering how removable media is managed?,yes,yes
Are the policy and process communicated to all employees using removable media?,yes,yes
Is there a formal procedure governing how removable media is disposed?,yes,yes
Is there a documented policy and process detailing how physical media should be transported?,yes,yes
Is media in transport protected against unauthorized access misuse or corruption?,yes,yes
Is there a rigorous equipment maintenance schedule?,yes,yes
Is there a process controlling how assets are removed from site?,yes,yes
Is this process enforced?,yes,yes
Are spot checks carried out?,yes,yes
Is there a policy covering security of assets off-site?,yes,yes
Is this policy widely communicated?,yes,yes
Is there a policy covering how information assets may be disposed or reused?,yes,yes
Where data is wiped is this properly verified before reuse/disposal?,yes,yes
Does the organization have a policy around how unattended equipment should be protected?,yes,yes
Are technical controls in place to secure equipment that has been inadvertently left unattended?,yes,yes
Is there a policy for teleworking?,yes,yes
Does this have management approval?,yes,yes
Is there a set process for remote workers to get access?,yes,yes
Are teleworkers given the advice and equipment to protect their assets?,yes,yes
Do organizational policies govern how information is transferred?,yes,yes
Are procedures for how data should be transferred made available to all employees?,yes,yes
Are relevant technical controls in place to prevent non-authorised forms of data transfer?,yes,yes
Do contracts with external parties and agreements within the organization detail the requirements for securing business information in transfer?,yes,yes
Do security policies cover the use of information transfer while using electronic messaging systems?,yes,yes
Is there a process for selecting test data?,yes,yes
Is test data suitably protected?,yes,yes
Do all employees have to sign a non-disclosure policy covering the protection of customer data? ,yes,yes
Do all employees providing the service receive security trainings at least annually? Please explain in the comments how you ensure security qualification and awareness.,yes,yes
Do you conduct background checks on employees during the hiring process?,yes,yes
Are these checks approved by appropriate management authority?,yes,yes
Are the checks compliant with relevant laws regulations and ethics?,yes,yes
Are the level of checks required supported by business risk assessments?,yes,yes
Are all employees contractors and third-party users asked to sign confidentiality and non- disclosure agreements?,yes,yes
Do employment / service contracts specifically cover the need to protect business information?,yes,yes
Are managers (of all levels) engaged in driving security within the business?,yes,yes
Does management behaviour and policy drive and encourage all employees contractors and 3rd party users to apply security in accordance with established policies and procedures?,yes,yes
Do all employees contractors and 3rd party users undergo regular security awareness training appropriate to their role and function within the organization?,yes,yes
Is there a formal disciplinary process which allows the organization to take action against employees who have committed an information security breach?,yes,yes
Is this communicated to all employees?,yes,yes
Is there a documented process for terminating or changing employment duties?,yes,yes
Are any information security duties which survive employment communicated to the employee or contractor?,yes,yes
Is the organization able to enforce compliance with any duties that survive employment?,yes,yes
Is there a clear desk / clear screen policy?,yes,yes
Is this well enforced?,yes,yes
Do employees contractors and agents sign confidentiality or non disclosure agreements?,yes,yes
Are these agreements subject to regular review?,yes,yes
Are records of the agreements maintained?,yes,yes
Is there a designated security perimeter?,yes,yes
Are sensitive or critical information areas segregated and appropriately controlled?,yes,yes
Do secure areas have suitable entry control systems to ensure only authorised personnel have access?,yes,yes
Have offices rooms and facilities been designed and configured with security in mind?,yes,yes
Do processes for maintaining the security (e.g. Locking up clear desks etc.) exist?,yes,yes
Have physical protection measures to prevent natural disasters malicious attack or accidents been designed in?,yes,yes
Do secure areas exist?,yes,yes
Where they do exist do secure areas have suitable policies and processes?,yes,yes
Are the policies and processes enforced and monitored?,yes,yes
Are there separate delivery / loading areas?,yes,yes
Is access to these areas controls?,yes,yes
Is access from loading areas isolated from information processing facilities?,yes,yes
Are environmental hazards identified and considered when equipment locations are selected?,yes,yes
Are the risks from unauthorised access / passers-by considered when siting equipment?,yes,yes
Is there a UPS system or backup generator?,yes,yes
Have these been tested within an appropriate timescale?,yes,yes
Have risk assessments been conducted over the location of power and telecommunications cables?,yes,yes
Are they located to protect from interference interception or damage?,yes,yes
Have you installed malware protection on all workstations and servers?,yes,yes
Do you perform penetration testing at least annually?,yes,yes
Does your company have an established and approved secure development policy implemented that applies to all software developed for Allianz? If yes please provide a copy for review,yes,yes
Are privilege utility programs restricted and monitored?,yes,yes
Is there a controlled change management process in place?,yes,yes
Does the organization enforce segregation of development test and operational environments?,yes,yes
Are processes to detect malware in place?,yes,yes
Are processes to prevent malware spreading in place?,yes,yes
Does the organization have a process and capacity to recover from a malware Infection.,yes,yes
Is there a process in place to control the installation of software onto operational systems?,yes,yes
Are there processes in place to restrict how users install software?,yes,yes
Are information systems subject to audit?,yes,yes
Does the audit process ensure business disruption is minimised?,yes,yes
Is there a network management process in place?,yes,yes
Does the organization implement a risk management approach which identifies all network services and service agreements?,yes,yes
Is security mandated in agreements and contracts with service providers (in house and outsourced).,yes,yes
Are security related SLAs mandated?,yes,yes
Does the network topology enforce segregation of networks for different tasks and restrict communication between different segments?,yes,yes
Do applications which send information over public networks appropriately protect the information against fraudulent activity contract dispute unauthorised discloser and unauthorised modification?,yes,yes
Are controls in place to prevent incomplete transmission misrouting unauthorised message alteration unauthorised disclosure unauthorised message duplication or replay attacks?,yes,yes
Does the organization develop software or systems?,yes,yes
If so are there policies mandating the implementation and assessment of security controls?,yes,yes
Is there a formal change control process?,yes,yes
Is there a process to ensure a technical review is carried out when operating platforms are changed?,yes,yes
Is there a policy in place which mandates when and how software packages can be changed or modified?,yes,yes
Does the organization have documented principles on how systems must be engineered to ensure security?,yes,yes
Has a secure development environment been established?,yes,yes
Do all projects utilise the secure development environment appropriately during the system development lifecycle?,yes,yes
Where systems or applications are developed are they security tested as part of the development process?,yes,yes
Is there an established process to accept new systems / applications or upgrades into production use?,yes,yes
Have you deployed encryption technology that ensures that confidential information or strictly confidential information transferred between your organization and Allianz is encrypted? What is your encryption policy?,yes,We implement SSH encryption using Secure File Transfer Protocol (SFTP) for file transfer to and from Allianz. Aside of that email communication is using Google Workspace's encryption standard.
Do you encrypt confidential data and Personal Identifiable Information (PII) at-rest with a customer-specific encryption keys?,yes,We do implement encrypton at-rest but our encryption keys are not customer-specific generated automatically by system and rotated regularly.
Is there a policy on the use of cryptographic controls?,yes,yes
Is there a policy governing the whole lifecycle of cryptographic keys?,yes,yes
Does the organization have a need-to-know and need-to-use principle in place?,yes,yes
Do you use Multi-Factor-Authentication to protect administrative access to your systems and applications? If yes please provide the current method in the comment field.,yes,yes
Is there a documented access control policy?,yes,yes
Is the policy based on business requirements?,yes,yes
Is the policy communicated appropriately?,yes,yes
Are controls in place to ensure users only have access to the network resources they have been specially authorised to use and are required for their duties?,yes,yes
Is there a formal user access registration process in place?,yes,yes
Is there a formal user access provisioning process in place to assign access rights for all user types and services?,yes,yes
Are privileged access accounts separately managed and controlled?,yes,yes
Is there a formal management process in place to control allocation of secret authentication information?,yes,yes
Is there a process for asset owners to review access rights to their assets on a regular basis?,yes,yes
Is this review process verified?,yes,yes
Is there a process to ensure user access rights are removed on termination of employment or contract or adjusted upon change of role?,yes,yes
Is there a policy document covering the organizations practices in how secret authentication information must be handled?,yes,yes
Is this communicated to all users?,yes,yes
Is access to information and application system functions restricted in line with the access control policy?,yes,yes
Where the access control policy requires it is access controlled by a secure log-on procedure?,yes,yes
Are password systems interactive?,yes,yes
Are complex passwords required?,yes,yes
Is access to the source code of the Access Control System protected?,yes,yes
Do you have a vulnerability management process in place covering identification risk assessment and remediation that covers the to be provided service? Please describe in the comment if and which SLAs apply to the remediation of vulnerabilities?,yes,yes
Do you perform vulnerability scanning of your internet-facing interfaces and applications at least monthly?,yes,yes
Does the organization have access to updated and timely information on technical vulnerabilities?,yes,yes
Is there a process to risk assess and react to any new vulnerabilities as they are discovered?,yes,yes
Does your organisation have an established & implemented Business Continuity Plan including a list of critical processes and recovery objectives that covers the to be provided service?,yes,yes
Is there a capacity management process in place?,yes,yes
Is there an agreed backup policy?,yes,yes
Does the organization's backup policy comply with relevant legal frameworks?,yes,yes
Are backups made in accordance with the policy?,yes,yes
Are backups tested?,yes,yes
Is information security included in the organization's continuity plans?,yes,yes
Does the organization's information security function have documented implemented and maintained processes to maintain continuity of service during an adverse situation?,yes,yes
Are continuity plans validated and verified at regular intervals?,yes,yes
Do information processing facilities have sufficient redundancy to meet the organizations availability requirements?,yes,yes
"Do have subcontracts or other agreements with third and fourth party suppliers that play a role to deliver this service? If yes please name all suppliers in the response details. If no third and fourth parties are involved select ""N.A."".",yes,AWS as our cloud provider
Do you actively manage the risk of all of your third parties with a documented approach? Please indicate how will you ensure that appropriate information security safeguards are in place while delivering this service to Allianz?,yes,We regularly request the latest SOC 2 type 2 report from AWS to ensure that all security controls have been audited independently and there is no open issues.
Where development has been outsourced is this supervised?,yes,yes
Is externally developed code subject to a security review before deployment?,yes,yes
Is information security included in contracts established with suppliers and service providers?,yes,yes
Is there an organization-wide risk management approach to supplier relationships especially ones that are used to provide Allianz services?,yes,yes
Are suppliers provided with documented security requirements?,yes,yes
Is supplier access to information assets & infrastructure controlled and monitored?,yes,yes
Do supplier agreements include requirements to address information security within the service & product supply chain?,yes,yes
Are suppliers subject to regular review and audit?,yes,yes
Are changes to the provision of services subject to a management process which includes security & risk assessment?,yes,yes
Has the organization identified and documented all relevant legislative regulatory or contractual requirements related to security?,yes,yes
Is compliance documented?,yes,yes
Does the organization keep a record of all intellectual property rights and use of proprietary software products?,yes,yes
Does the organization monitor for the use of unlicensed software?,yes,yes
Are records protected from loss destruction falsification and unauthorised access or release in accordance with legislative regulatory contractual and business requirements?,yes,yes
Is PII data identified and appropriately classified?,yes,yes
Is PII data protected in accordance with relevant legislation?,yes,yes
Are cryptographic controls protected in accordance with all relevant agreements legislation and regulations?,yes,yes
Is the organizations approach to managing information security subject to regular independent review?,yes,yes
Is the implementation of security controls subject to regular independent review?,yes,yes
Does the organization instruct managers to regularly review compliance with policy and procedures within their area of responsibility?,yes,yes
Are records of these reviews maintained?,yes,yes
Does the organization regularly conduct technical compliance reviews of its information systems?,yes,yes
Does your organization continuously monitor security relevant logs and events for anomalies using a SIEM or similar system that covers the to be provided service?,yes,yes
Does your company have a data breach response plan implemented that covers the to be provided service? Please provide in the comments the scenarios covered.,yes,yes
"Do you have a defined procedure implemented for notifying Allianz in case of a data breaches or other relevant events? 
If yes please specify the method and interface in the detailed response field.",yes,yes
"Has your company been able to successfully defend/mitigate attacks in the past? If you have experienced any major data or information security breaches in the past three years involving customer data or services please select ""not in Place"" and provide details.",no,We never experience any security or data breach so far.
Does your organisation have insurance cover for information security incidents that covers the to be provided service?,yes,yes
Are appropriate event logs maintained and regularly reviewed?,yes,yes
Are logging facilities protected against tampering and unauthorized access?,yes,yes
Are system administrator/operator logs maintained protected and regularly reviewed?,yes,yes
Are all clocks synchronized within the organisation?,yes,yes
Are management responsibilities clearly identified and documented in the incident management processes?,yes,yes
Is there a process for timely reporting of information security events?,yes,yes
Is there a process for reviewing and acting on reported information security events?,yes,yes
Is there a process for reporting of identified information security weaknesses?,yes,yes
Is this process widely communicated?,yes,yes
Is there a process for reviewing and addressing reports in a timely manner?,yes,yes
Is there a process to ensure information security events are properly assessed and classified?,yes,yes
Is there an incident response process which reflects the classification and severity of information security incidents?,yes,yes
Is there a process or framework which allows the organization to learn from information security incidents and reduce the impact / probability of future events?,yes,yes
Is there a forensic readiness policy?,yes,yes
In the event of an information security incident is relevant data collected in a manner which allows it to be used as evidence?,yes,yes
Are your security policies procedures including Physical Security and Safety Information Security and Operational Resilience (which covers Business Continuity IT Service Continuity Management Crisis & Incident Management) formally documented and are approved by senior management in the last 12 months communicated to staff and relevant external parties published appropriately as to be available for reference and application and reviewed at planned intervals or if significant changes occur to ensure their continuing suitability adequacy and effectiveness?,yes,We have documented the policy and procedure in Sistem Manajemen Keamanan Informasi (SMKI) Policy and Procedure.
Do you have specialist security resources with responsibility for security programs and initiatives including Physical Security and Safety Information Security and Operational Resilience (which covers Business Continuity IT Service Continuity Management Crisis & Incident Management) ? if yes are they aware of their responsibilities?,yes,Desribed in the Organization Structure of ISDP
Are conflicting duties and areas of responsibility segregated to reduce opportunities for unauthorised or unintentional modification or misuse of the organisation's assets?,yes,Segregation of duties described in the ISDP OKR which reflecting different job description among functions.
Is succession planning fully and effectively applied within your business?,yes,Desribed in the Organization Structure of ISDP which reflect structured/layered responsibilities to ensure succession planning at the same function.
Have you implemented a mobile device security policy and supporting security measures to manage the risks introduced by using mobile devices?,yes,Governed at SMKI Procedure
Do you have an implemented teleworking security management policy and supporting security measures to protect and secure information accessed processed and stored at teleworking sites?,yes,Governed at SMKI Procedure
Do you perform background verification and security checks for all new personnel (permanent contract and temporary)?,yes,Governed at SMKI Procedure
Do your employment contracts include specific sections to protect your information assets and include employees and contractors responsibilities for security?,yes,In employment contract.
Do all your employees and contractors receive at least every 12 months security awareness education and regular updates in organisational policies and procedures covering Information Security Operational Resilience (including BCM ITSCM Crisis & Incident Management) and Physical Security and Safety as relevant to their job functions?,yes,Done via blast email or learning platform.
Do you have an accurate up to date and consistent inventory of all assets associated with information and information handling facilities?,yes,Stated in Information Asset Register
Do all assets associated with your information have clearly defined owners?,yes,Stated in Information Asset Register
Do you have fully implemented acceptable use rules for all information and assets associated with information and information processing facilities?,yes,Governed at SMKI Procedure
Do you have processes to ensure that all employees and external party users return all assets associated with information upon termination of employment contract or agreement?,yes,"Governed in ""Serah Terima Aset IT"" Procedure"
Do you operate an information classification and labelling scheme and labelling based on the importance of the information to your organisation that has been applied throughout your business and systems?,yes,Governed at SMKI Procedure
Have you developed and implemented procedures for information labelling in accordance with your information classification scheme?,yes,Governed at SMKI Procedure
Have you developed and implemented procedures to prevent unauthorised disclosure modification removal or destruction of information stored on removable media in accordance with your information classification scheme?,yes,Governed at SMKI Procedure
Have you developed and implemented procedures for secure disposal of sensitive media when no longer required?,yes,Governed at SMKI Procedure
Have you developed and implemented procedures for managing the transfer of sensitive data on physical media to ensure that is protected against unauthorised access misuse or corruption during transportation?,yes,Governed at SMKI Procedure
Do you have an access control policy in place that has been developed and implemented based on business and information security requirements?,yes,Governed at SMKI Procedure
Do you control all access to networks and network services based on users only being provided with the level of access they have been specifically authorised to use?,yes,Governed at SMKI Procedure
Have you developed and implemented a user registration process and de-registration process to enable the assignment of access rights?,yes,Governed at SMKI Procedure
Have you developed and implemented a user access provisioning process to assign or revoke access rights for all user types to all systems and services ?,yes,Governed at SMKI Procedure
Do you have a formal authorisation process that restricts and controls privileged access rights?,yes,Governed at SMKI Procedure
Do you have a formal management process controlling the allocation of secret authentication information?,yes,Governed at SMKI Procedure
Do you have a formal process whereby asset owners review users' access rights at regular intervals?,yes,Governed at SMKI Procedure
Do you have a process to remove access rights for all employees and external party users to information and information processing services upon termination of their employment contract or agreement or adjust such access rights upon change?,yes,Governed at SMKI Procedure
Are users made accountable for protecting and safeguarding their secret authentication information?,yes,Governed at SMKI Procedure
Is access to information and application system functions restricted in accordance with the access control policy to prevent unauthorised access?,yes,Governed at SMKI Procedure
Are secure log-on procedures in place to control access to systems and applications?,yes,Governed at SMKI Procedure
Do you use formal password management systems that ensure quality passwords?,yes,Password quality is following Google Workspace standards.
